"trial","ref_position","var_area","response","correct","rt"
1,"R",12.2210698726121,"L",TRUE,1.39999985694885
2,"R",12.4410332678817,"L",TRUE,1.07999992370605
3,"L",10.3316736910492,"R",TRUE,1.40699982643127
4,"R",11.7867789415177,"R",FALSE,1.39499998092651
5,"R",13.0579712928738,"L",TRUE,1.492999792099
6,"L",13.6055708839558,"R",TRUE,1.38899993896484
7,"L",10.8454751651734,"R",TRUE,1.20300006866455
8,"R",8.9819625094533,"R",TRUE,1.29900002479553
9,"R",11.94347030879,"L",TRUE,1.59400010108948
10,"L",10.6007771557197,"R",TRUE,1.21300005912781
11,"L",12.4477700327989,"R",TRUE,1.19099998474121
12,"R",12.451896538958,"L",TRUE,1.19399976730347
13,"L",9.18684568419121,"R",TRUE,1.18099999427795
14,"R",8.02054298715666,"R",TRUE,1.09200000762939
15,"L",13.8848238277715,"R",TRUE,0.996999979019165
16,"L",11.1160407478455,"R",TRUE,1.1949999332428
17,"L",9.56877609924413,"R",TRUE,1.50699996948242
18,"R",12.5721159873065,"L",TRUE,1.31500005722046
19,"L",12.1721277441829,"R",TRUE,0.998999834060669
20,"R",11.4814148307778,"L",TRUE,1.30399990081787
